Row,Recency,Frequency,Monetary
319,1848,1,4069
320,1847,1,3716
321,1846,1,3380
322,1845,1,1737
323,1844,1,2181
324,1843,1,3973
325,1842,1,3997
326,1841,1,4132
327,1840,1,3791
328,1839,1,2968
329,1838,1,1752
330,1837,1,2070
331,1836,1,3920
332,1835,1,4106
333,1834,1,4006
334,1833,1,3827
335,1832,1,2944
336,1831,1,1827
337,1830,1,2373
338,1829,1,4031
339,1828,1,4027
340,1827,1,3912
341,1826,1,3867
342,1825,1,3304
343,1824,1,1685
344,1823,1,2130
345,1822,1,3936
346,1821,1,4029
347,1820,1,4010
348,1819,1,4027
349,1818,1,2829
350,1817,1,1736
351,1816,1,2517
352,1815,1,4029
353,1814,1,4261
354,1813,1,4058
355,1812,1,4392
356,1811,1,3072
357,1810,1,1799
358,1809,1,2341
359,1808,1,3330
360,1807,1,4734
361,1806,1,4801
362,1805,1,4399
363,1804,1,3275
364,1803,1,2042
365,1802,1,2827
366,1801,1,4836
367,1800,1,4840
368,1799,1,4504
369,1798,1,4379
370,1797,1,3391
371,1796,1,2045
372,1795,1,2721
373,1794,1,4630
374,1793,1,4748
375,1792,1,4702
376,1791,1,4440
377,1790,1,3513
378,1789,1,2253
379,1788,1,3141
380,1787,1,5122
381,1786,1,5151
382,1785,1,4969
383,1784,1,4619
384,1783,1,3443
385,1782,1,2302
386,1781,1,3291
387,1780,1,5206
388,1779,1,5474
389,1778,1,5400
390,1777,1,5334
391,1776,1,4174
392,1775,1,2571
393,1774,1,3572
394,1773,1,5018
395,1772,1,5565
396,1771,1,5420
397,1770,1,5366
398,1769,1,4091
399,1768,1,2824
400,1767,1,3843
401,1766,1,5516
402,1765,1,5572
403,1764,1,5243
404,1763,1,5133
405,1762,1,4084
406,1761,1,2739
407,1760,1,3781
408,1759,1,5684
409,1758,1,5687
410,1757,1,5906
411,1756,1,5541
412,1755,1,4171
413,1754,1,2586
414,1753,1,3838
415,1752,1,5675
416,1751,1,5624
417,1750,1,5794
418,1749,1,5389
419,1748,1,4305
420,1747,1,3281
421,1746,1,3790
422,1745,1,5894
423,1744,1,5461
424,1743,1,5206
425,1742,1,5228
426,1741,1,4097
427,1740,1,2694
428,1739,1,3893
429,1738,1,6185
430,1737,1,6178
431,1736,1,6067
432,1735,1,5656
433,1734,1,4398
434,1733,1,2836
435,1732,1,3896
436,1731,1,5814
437,1730,1,5879
438,1729,1,4800
439,1728,1,3838
440,1727,1,3576
441,1726,1,2799
442,1725,1,4228
443,1724,1,6331
444,1723,1,6380
445,1722,1,6314
446,1721,1,6160
447,1720,1,4859
448,1719,1,3317
449,1718,1,4715
450,1717,1,6940
451,1716,1,6551
452,1715,1,6327
453,1714,1,6212
454,1713,1,4687
455,1712,1,3014
456,1711,1,4132
457,1710,1,5989
458,1709,1,5331
459,1708,1,5183
460,1707,1,4769
461,1706,1,3627
462,1705,1,1857
463,1704,1,2221
464,1703,1,3335
465,1702,1,2883
466,1701,1,2353
467,1700,1,1578
468,1699,1,1017
469,1698,1,1334
470,1697,1,1690
471,1696,1,2838
472,1695,1,2815
473,1694,1,2382
474,1693,1,1587
475,1692,1,1411
476,1691,1,1838
477,1690,1,2180
478,1689,1,3587
479,1688,1,3855
480,1687,1,3840
481,1686,1,3735
482,1685,1,3223
483,1684,1,2207
484,1683,1,2814
485,1682,1,4007
486,1681,1,4119
487,1680,1,4338
488,1679,1,4432
489,1678,1,3306
490,1677,1,2223
491,1676,1,2757
492,1675,1,4047
493,1674,1,4489
494,1673,1,4588
495,1672,1,4398
496,1671,1,3340
497,1670,1,2344
498,1669,1,2973
499,1668,1,4638
500,1667,1,4791
501,1666,1,5104
502,1665,1,4621
503,1664,1,3831
504,1663,1,2295
505,1662,1,3235
506,1661,1,4918
507,1660,1,5127
508,1659,1,4794
509,1658,1,4788
510,1657,1,3948
511,1656,1,2383
512,1655,1,2950
513,1654,1,4905
514,1653,1,5353
515,1652,1,5492
516,1651,1,5052
517,1650,1,3764
518,1649,1,2458
519,1648,1,3098
520,1647,1,4951
521,1646,1,5495
522,1645,1,5505
523,1644,1,5188
524,1643,1,4002
525,1642,1,2607
526,1641,1,3906
527,1640,1,6360
528,1639,1,6046
529,1638,1,5938
530,1637,1,5325
531,1636,1,4165
532,1635,1,2829
533,1634,1,4090
534,1633,1,5734
535,1632,1,6214
536,1631,1,5906
537,1630,1,5814
538,1629,1,4507
539,1628,1,2859
540,1627,1,3897
541,1626,1,5849
542,1625,1,6264
543,1624,1,6062
544,1623,1,5685
545,1622,1,4391
546,1621,1,2880
547,1620,1,3740
548,1619,1,5710
549,1618,1,5168
550,1617,1,5577
551,1616,1,5238
552,1615,1,3931
553,1614,1,2606
554,1613,1,3149
555,1612,1,5565
556,1611,1,5281
557,1610,1,5202
558,1609,1,4581
559,1608,1,3264
560,1607,1,2344
561,1606,1,3112
562,1605,1,5051
563,1604,1,5333
564,1603,1,5671
565,1602,1,5097
566,1601,1,4555
567,1600,1,2987
568,1599,1,4257
569,1598,1,5804
570,1597,1,5885
571,1596,1,6054
572,1595,1,5791
573,1594,1,4741
574,1593,1,2946
575,1592,1,4071
576,1591,1,6265
577,1590,1,6298
578,1589,1,6495
579,1588,1,5536
